German,English
gefallen,to like
Mädchen,girl
verhalten,behave
mindestens,at least
ziemlich,pretty much
Interesse,interest
unterscheiden,differentiate
wobei,whereby
jeweils,respectively
reichen,are sufficient
sieben,seven
zumindest,at least
schlagen,beat
Tier,animal
jedenfalls,in any case
am,at the
erhöhen,raise
sorgen,care for
Erfahrung,experience
Patient,patient
Morgen,morning
Arzt,physician
geschehen,happen
Bayern,Bavaria
lösen,to solve
irgendwie,somehow
anbieten,offer
vorkommen,occurrence
okay,OK
wünschen,wish
interessieren,interest
Unterschied,difference
Foto,photo
trinken,drink
derselbe,the same
wählen,Select
gleichzeitig,simultaneously
knapp,meager
Mitarbeiter,employees
übernehmen,take
Glück,Luck
normal,normal
leider,unfortunately
Grundlage,basis
acht,eight
Leistung,perfomance
vorliegen,exist
erfolgen,take place
Beziehung,relationship
zunehmen,gain weight
Molekül,molecule
stattfinden,occur
ankommen,arrive
auftreten,appear
insbesondere,especially
technisch,technically
wann,when
los,Come on
Bett,bed
Höhe,Height
wesentlich,essential
englisch,English
zuletzt,last
rein,pure
Zimmer,Room
indem,in which
bauen,to build
Verhältnis,Relationship
selten,Rare
Zeitung,newspaper
innere,inner
beispielsweise,for example
Bedingung,Condition
Fenster,window
Zug,train
derzeit,currently
funktionieren,function
sowohl,as well as
schlafen,sleep
statt,instead of
Werk,plant
grün,green
Bürger,Citizens
dienen,to serve
echt,real
Firma,company
Wirtschaft,Business
stecken,put
hoffen,hope
erfahren,Experienced
Mittel,Middle
Folie,foil
leisten,Afford
Tochter,daughter
Lehrer,teacher
passen,fit
beobachten,watch
Einführung,introduction
Element,element
klingen,sound
lieben,love
Dame,lady
Vorlesung,lecture
zählen,counting
meist,most of time
dunkel,dark
Österreich,Austria
Modell,model
Bewegung,Movement
unten,below
Mitte,center
hin,there
aufgrund,because of
beschäftigen,occupy
zuvor,before
miteinander,together
dennoch,still
werfen,throw
Angebot,offer
Projekt,Project
verkaufen,Selling
reagieren,react
Autor,author
kriegen,Obtain
zirka,about
Europäische Union,European Union
Größe,size
hart,hard
offenbar,apparently
Bruder,Brothers
beteiligen,participate
Phase,phase
angeben,brag
Reise,travel
erfolgreich,successful
Zustand,Condition
wahr,true
Reihe,Row
Natur,Nature
rechnen,calculate
bloß,just
notwendig,necessary
entdecken,discover
dauern,last
wirtschaftlich,economically
privat,Private
modern,modern
Haar,hair
deswegen,because of this
spüren,sense
unabhängig,independently
morgen,tomorrow
Rahmen,frame
übrigens,by the way
Einheit,Unit
überall,overall
feststellen,determine
Stoff,material
Rede,speech
unterstützen,support
chemisch,chemical
schlimm,terrible
Schweiz,Switzerland
irgendwann,Sometime
Geschäft,Business
weder,neither
Anteil,Portion
Angabe,specification
Team,team
außer,except
Sommer,Summer
Hotel,hotel
laut,according to
eins,one
Alter,age
Sicherheit,security
Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
niedrig,low
ständig,constant
Einsatz,mission
liefern,deliver
betonen,emphasize
Erde,Earth
Studie,study
vorne,in front
rechte,right
Meinung,opinion
drehen,rotate
Künstler,Artists
aktiv,active
Versuch,experiment
somit,Consequently
bezahlen,pay
Eigenschaft,Characteristic
längst,a long time ago
Methode,method
Ordnung,Order
Russland,Russia
Wahl,choice
daraus,from this
erfüllen,fulfill
Mama,mummy
Region,region
Sonntag,Sunday
Internet,Internet
Nummer,number
lächeln,smile
genauso,just like that
überzeugen,to convince
interessant,Interesting
menschlich,human
Elektron,electron
Frankreich,France
Freiheit,freedom
speziell,special
französisch,French
negativ,negative
zentral,central
Ebene,level
besuchen,to visit
gestern,yesterday
Spieler,player
absolut,absolutely
fliegen,to fly
Hund,dog
antworten,reply
weiterhin,Farther
Wand,Wall
rechts,to the right
konkret,concrete
russisch,Russian
zahlen,to count
zugleich,simultaneously
Feld,Field
verdienen,to earn
amerikanisch,American
Sekunde,second
Brief,letter
Mitglied,Member
praktisch,practical
Gefahr,Danger
binden,tie
weltweit,worldwide
Liebe,love
Beginn,Beginnings
China,China
breit,wide
draußen,outdoors
Wirkung,Effect
Bildung,training
Blut,blood
Meer,sea
Anzahl,Number
Veränderung,change
durchaus,quite
Mund,mouth
berechnen,calculate
betragen,be
fremd,strange
Untersuchung,investigation
Fehler,Mistake
mittlerweile,in the meantime
aufbauen,build up
Sonne,Sun
Prinzip,principle
vorher,previously
Kampf,Battle
Verfügung,disposal
feiern,celebrate
Programm,program
linke,left
Einfluss,influence
Temperatur,temperature
leer,empty
mitteilen,communicate
Verfahren,procedure
danke,Thank you
beziehen,relate
verlangen,Craving
zuerst,first
Analyse,analysis
klassisch,classic
ehemalig,former
Bein,leg
Glas,Glass
untersuchen,investigate
kalt,cold
Sorge,Worries
Himmel,Heaven
künftig,future
national,national
Kirche,Church
links,Left
Christlich Demokratische Union,Christian Democratic Union
bislang,so far
messen,measure up
lieb,dear
unbedingt,necessarily
Verein,association
Atom,atom
historisch,historical
sinken,sink
kosten,costs
Vorstellung,performance
entscheidend,decisive
teilen,divide
Typ,Type
stammen,come
wissenschaftlich,scientific
wieso,how come
Faktor,factor
Bindung,binding
Literatur,literature
überraschen,to surprise
bestätigen,to confirm
bewusst,deliberately
Abschnitt,section
Nähe,vicinity
zahlreich,numerous
medizinisch,medical
übrig,left over
Türkei,Turkey
Produktion,production
drücken,press
drohen,threaten
Linie,line
Gas,gas
schicken,send
Hälfte,half
Kontakt,Contact
Interview,interview
egal,no matter
reisen,to travel
Berg,Mountain
irgendwo,somewhere
trennen,separate
benötigen,require
Erinnerung,memory
verhindern,impede
Sicht,view
Dollar,dollar
leiden,To suffer
Anspruch,claim
Position,position
Sport,Sports
Bürgerliches Gesetzbuch,Civil Code
Nachfrage,demand
blau,blue
anschauen,look at
teuer,expensive
Medien,media
richten,judge
Institut,Institute
Plan,plan
immerhin,after all
Tor,Goal
Betrieb,operation
komplex,complex
Dorf,village
eignen,be suitable
Klasse,Class
eingehen,enter into
erlauben,to permit
treiben,float
weg,away
aufstehen,stand up
Absatz,Unit volume
unterwegs,On the way
Vertrag,contract
Ausdruck,Expression
geraten,devices
toll,Great
schweigen,remain silent
Schwester,sister
Chef,boss
greifen,grasp
Risiko,risk
schwach,weak
Tabelle,tabel
ermöglichen,enable
Freitag,Friday
Hinweis,a notice
Vorteil,advantage
Protein,protein
Gewinn,Profit
grundsätzlich,basically
März,March
wiederholen,to repeat
Ruhe,quiet
Darstellung,depiction
ruhig,calm
Traum,Dream
behandeln,to treat
stets,always
aufhören,stop
schützen,protection
diskutieren,to discuss
Ferse,heel
Sprecher,speaker
produzieren,to produce
Region,region
Sonntag,Sunday
Internet,Internet
Nummer,number
lächeln,smile
genauso,just like that
überzeugen,to convince
interessant,Interesting
menschlich,human
Elektron,electron
Frankreich,France
Freiheit,freedom
speziell,special
französisch,French
negativ,negative
zentral,central
Ebene,level
besuchen,to visit
gestern,yesterday
Spieler,player
absolut,absolutely
fliegen,to fly
Hund,dog
antworten,reply
weiterhin,Farther
Wand,Wall
rechts,to the right
konkret,concrete
russisch,Russian
zahlen,to count
zugleich,simultaneously
Feld,Field
verdienen,to earn
amerikanisch,American
Sekunde,second
Brief,letter
Mitglied,Member
praktisch,practical
Gefahr,Danger
binden,tie
weltweit,worldwide
Liebe,love
Beginn,Beginnings
China,China
breit,wide
draußen,outdoors
Wirkung,Effect
Bildung,training
Blut,blood
Meer,sea
Anzahl,Number
Veränderung,change
durchaus,quite
Mund,mouth
berechnen,calculate
betragen,be
fremd,strange
Untersuchung,investigation
Fehler,Mistake
mittlerweile,in the meantime
aufbauen,build up
Sonne,Sun
Prinzip,principle
vorher,previously
Kampf,Battle
Verfügung,disposal
feiern,celebrate
Programm,program
linke,left
Einfluss,influence
Temperatur,temperature
leer,empty
mitteilen,communicate
Verfahren,procedure
danke,Thank you
beziehen,relate
verlangen,Craving
zuerst,first
Analyse,analysis
klassisch,classic
ehemalig,former
Bein,leg
Glas,Glass
untersuchen,investigate
kalt,cold
Sorge,Worries
Himmel,Heaven
künftig,future
national,national
Kirche,Church
links,Left
Christlich Demokratische Union,Christian Democratic Union
bislang,so far
messen,measure up
lieb,dear
unbedingt,necessarily
Verein,association
Atom,atom
historisch,historical
sinken,sink
kosten,costs
Vorstellung,performance
entscheidend,decisive
teilen,divide
Typ,Type
stammen,come
wissenschaftlich,scientific
wieso,how come
Faktor,factor
Bindung,binding
Literatur,literature
überraschen,to surprise
bestätigen,to confirm
bewusst,deliberately
Abschnitt,section
Nähe,vicinity
zahlreich,numerous
medizinisch,medical
übrig,left over
Türkei,Turkey
Produktion,production
drücken,press
drohen,threaten
Linie,line
Gas,gas
schicken,send
Hälfte,half
Kontakt,Contact
Interview,interview
egal,no matter
reisen,to travel
Berg,Mountain
irgendwo,somewhere
trennen,separate
benötigen,require
Erinnerung,memory
verhindern,impede
Sicht,view
Dollar,dollar
leiden,To suffer
Anspruch,claim
Position,position
Sport,Sports
Bürgerliches Gesetzbuch,Civil Code
Nachfrage,demand
blau,blue
anschauen,look at
teuer,expensive
Medien,media
richten,judge
Institut,Institute
Plan,plan
immerhin,after all
Tor,Goal
Betrieb,operation
komplex,complex
Dorf,village
eignen,be suitable
Klasse,Class
eingehen,enter into
erlauben,to permit
treiben,float
weg,away
aufstehen,stand up
Absatz,Unit volume
unterwegs,On the way
Vertrag,contract
Ausdruck,Expression
geraten,devices
toll,Great
schweigen,remain silent
Schwester,sister
Chef,boss
greifen,grasp
Risiko,risk
schwach,weak
Tabelle,tabel
ermöglichen,enable
Freitag,Friday
Hinweis,a notice
Vorteil,advantage
Protein,protein
Gewinn,Profit
grundsätzlich,basically
März,March
wiederholen,to repeat
Ruhe,quiet
Darstellung,depiction
ruhig,calm
Traum,Dream
behandeln,to treat
stets,always
aufhören,stop
schützen,protection
diskutieren,to discuss
Ferse,heel
Sprecher,speaker
produzieren,to produce
